Datum,Tatsächlich,Vorhergesagt
2015-12-15,2025.5501231335077,2018.0118356147434
2015-12-16,2046.4999186426578,2051.4349495831993
2015-12-17,2073.7600639697484,2073.681448737043
2015-12-18,2040.810074021356,2041.552352243598
2015-12-21,2010.2699364340517,2002.5334095927249
2015-12-22,2023.149940983276,2024.7410488251628
2015-12-23,2042.19989821504,2040.5982247724025
2015-12-24,2063.5200269844063,2065.735758816445
2015-12-28,2057.7700121622183,2059.081221123197
2015-12-29,2060.5399903387297,2049.2704340531054
2015-12-30,2077.340011844499,2082.4695214700478
2015-12-31,2060.5901321728015,2058.5851751218433
2016-01-04,2038.200012479938,2042.129162413403
2016-01-05,2013.7800438970592,2000.766447175629
2016-01-06,2011.7099024618076,2019.1224772394346
2016-01-07,1985.319897033842,1983.0194613178176
2016-01-08,1945.9700182780946,1940.6195264266719
2016-01-11,1926.1199406369271,1928.2529384427473
2016-01-12,1927.8299562567556,1920.85110834385
2016-01-13,1940.3399857017214,1942.6608363073321
2016-01-14,1891.6800219046856,1892.9896191638547
2016-01-15,1916.6800240609884,1925.2433539305641
2016-01-19,1888.6600508697304,1869.6446556878802
2016-01-20,1876.1801065252077,1888.675093419952
2016-01-21,1861.459896665547,1841.08565778035
2016-01-22,1877.399985716984,1881.5719653897397
2016-01-25,1906.280070440553,1910.8060872774515
2016-01-26,1878.7899889886469,1875.7259647709
2016-01-27,1902.5199701191016,1907.6629105930626
2016-01-28,1885.2199628964447,1882.4911726550638
2016-01-29,1893.9999771204023,1893.9394487635584
2016-02-01,1936.9400111956932,1942.806784860077
2016-02-02,1935.2600806763078,1934.0276660260135
2016-02-03,1907.0699834051632,1899.4614973186983
2016-02-04,1911.6699594473178,1906.1208701173748
2016-02-05,1913.069991085795,1917.9262277156524
2016-02-08,1873.2500326356242,1875.0519152585914
2016-02-09,1848.4599098705078,1843.4494871008794
2016-02-10,1857.1000641930007,1854.7288926753392
2016-02-11,1847.000066187102,1861.319320452167
2016-02-12,1833.3999890850102,1817.195580936823
2016-02-16,1871.4399124256308,1872.6606870073012
2016-02-17,1898.7999832649077,1898.6939691014416
2016-02-18,1927.5699350314974,1931.2191860840542
2016-02-19,1916.7400151838958,1916.823107366072
2016-02-22,1924.4400101175418,1913.2655442386751
2016-02-23,1942.3800420365299,1951.4120189766984
2016-02-24,1917.5600132489492,1916.19543905028
2016-02-25,1931.869955459115,1921.8115035443045
2016-02-26,1954.9498835264242,1953.6707295236558
2016-02-29,1947.1300854249423,1950.3996911623838
2016-03-01,1937.0898994639722,1934.0187121270721
2016-03-02,1976.6000530107706,1982.1401884417721
2016-03-03,1985.599974992729,1981.7268764666371
2016-03-04,1994.0100141124278,1991.4814330513766
2016-03-07,1996.1100615701437,2001.4403176099588
2016-03-08,1996.8799178011252,1998.530300454004
2016-03-09,1981.4399935445547,1975.6290922095652
2016-03-10,1990.9699863438439,1990.952078545961
2016-03-11,1994.7100299316664,1987.1155119275502
2016-03-14,2019.2700374939889,2026.2444084574238
2016-03-15,2015.269972680908,2015.4560347009103
2016-03-16,2014.2399161466894,2010.5317484390982
2016-03-17,2026.900012937913,2027.8960446561543
2016-03-18,2041.159992391986,2040.0067302083337
2016-03-21,2047.8800726254851,2049.769703458078
2016-03-22,2048.639900489652,2050.128754805628
2016-03-23,2048.5500033442804,2047.8455105755713
2016-03-24,2032.4799036802144,2033.1688166647657
2016-03-28,2037.8900284985868,2029.6409804818543
2016-03-29,2035.7500466515924,2038.2059220532394
2016-03-30,2058.269997879106,2051.9229370755056
2016-03-31,2063.77001984285,2068.4659816816566
2016-04-01,2056.620152460164,2057.645373888954
2016-04-04,2073.18987968516,2068.7897546673776
2016-04-05,2062.499998817002,2064.9084185542597
2016-04-06,2045.5601174097685,2040.6752283032986
2016-04-07,2063.010012900704,2067.696125450675
2016-04-08,2045.5400606761398,2035.2283924992664
