Date,Open,High,Low,Close,Volume,Close_Direction,RSI,MACD,Signal_Line,RSI_Overbought,RSI_Oversold,RSI_Overbought_Streak,RSI_Oversold_Streak,RSI_CrossOver_70,RSI_CrossUnder_30,RSI_Slope,MACD_BullishCrossover,MACD_BearishCrossover,MACD_Bullish_Streak,MACD_Bearish_Streak,MACD_ZeroLine_Crossover,MACD_Slope,BB_UpperBreak,BB_LowerBreak,BB_UpperBreak_Streak,BB_LowerBreak_Streak,BB_Squeeze
1980-01-02,0.0,108.43000030517578,105.29000091552734,105.76000213623048,40610000,1.0,69.02765,1.93055,1.88769,0.0,0.0,0.0,0.0,0.0,0.0,1.07987,0.0,0.0,23.0,0.0,0.0,-0.05282,0.0,0.0,0.0,0.0,0.0
1980-01-03,0.0,106.08000183105467,103.26000213623048,105.22000122070312,50480000,1.0,72.6542,1.95172,1.90049,1.0,0.0,1.0,0.0,1.0,0.0,3.62655,0.0,0.0,24.0,0.0,0.0,0.02117,0.0,0.0,0.0,0.0,0.0
1980-01-04,0.0,107.08000183105467,105.08999633789062,106.5199966430664,39130000,1.0,74.36212,1.99074,1.91854,1.0,0.0,2.0,0.0,0.0,0.0,1.70792,0.0,0.0,25.0,0.0,0.0,0.03902,0.0,0.0,0.0,0.0,0.0
1980-01-07,0.0,107.8000030517578,105.8000030517578,106.80999755859376,44500000,0.0,78.64545,2.13184,1.9612,1.0,0.0,3.0,0.0,0.0,0.0,4.28333,0.0,0.0,26.0,0.0,0.0,0.1411,1.0,0.0,1.0,0.0,0.0
1980-01-08,0.0,109.29000091552734,106.29000091552734,108.9499969482422,53390000,1.0,72.19008,2.15188,1.99934,1.0,0.0,4.0,0.0,0.0,0.0,-6.45536,0.0,0.0,27.0,0.0,0.0,0.02005,0.0,0.0,0.0,0.0,0.0
1980-01-09,0.0,111.08999633789062,108.41000366210938,109.0500030517578,65260000,1.0,74.32309,2.20529,2.04053,1.0,0.0,5.0,0.0,0.0,0.0,2.13301,0.0,0.0,28.0,0.0,0.0,0.0534,0.0,0.0,0.0,0.0,0.0
1980-01-10,0.0,110.86000061035156,108.47000122070312,109.88999938964844,55980000,0.0,75.71199,2.26508,2.08544,1.0,0.0,6.0,0.0,0.0,0.0,1.3889,0.0,0.0,29.0,0.0,0.0,0.05979,0.0,0.0,0.0,0.0,0.0
1980-01-11,0.0,111.16000366210938,108.88999938964844,109.91999816894533,52890000,0.0,63.86266,2.1489,2.09813,0.0,0.0,0.0,0.0,0.0,0.0,-11.84934,0.0,0.0,30.0,0.0,0.0,-0.11618,0.0,0.0,0.0,0.0,0.0
1980-01-14,0.0,111.44000244140624,109.33999633789062,110.37999725341795,52930000,0.0,56.59738,1.92888,2.06428,0.0,0.0,0.0,0.0,0.0,0.0,-7.26528,0.0,1.0,0.0,1.0,0.0,-0.22001,0.0,0.0,0.0,0.0,0.0
1980-01-15,0.0,111.93000030517578,109.4499969482422,111.13999938964844,52320000,1.0,52.61181,1.66991,1.98541,0.0,0.0,0.0,0.0,0.0,0.0,-3.98557,0.0,0.0,0.0,2.0,0.0,-0.25897,0.0,0.0,0.0,0.0,0.0
