Date,Open,High,Low,Close,Volume,MiddleBand,UpperBand,LowerBand,Distance_Upper,Distance_Middle,Distance_Lower,Event_Type,Tolerance,Touch_Type,Consecutive_Touches,Future_Return_1,Future_Move_1,Future_Return_3,Future_Move_3,Future_Return_5,Future_Move_5,Future_Return_7,Future_Move_7,Future_Return_10,Future_Move_10
1980-01-02,0.0,108.43000030517578,105.29000091552734,105.76000213623048,40610000,,,,,,,,1.0%,,0,-0.005,Down,0.01,Up,0.031,Up,0.039,Up,0.05,Up
1980-01-03,0.0,106.08000183105467,103.26000213623048,105.22000122070312,50480000,,,,,,,,1.0%,,0,0.012,Up,0.035,Up,0.044,Up,0.049,Up,0.052,Up
1980-01-04,0.0,107.08000183105467,105.08999633789062,106.5199966430664,39130000,,,,,,,,1.0%,,0,0.003,Up,0.024,Up,0.032,Up,0.043,Up,0.043,Up
1980-01-07,0.0,107.8000030517578,105.8000030517578,106.80999755859376,44500000,,,,,,,,1.0%,,0,0.02,Up,0.029,Up,0.033,Up,0.04,Up,0.05,Up
1980-01-08,0.0,109.29000091552734,106.29000091552734,108.9499969482422,53390000,,,,,,,,1.0%,,0,0.001,Up,0.009,Up,0.02,Up,0.016,Up,0.023,Up
1980-01-09,0.0,111.08999633789062,108.41000366210938,109.0500030517578,65260000,,,,,,,,1.0%,,0,0.008,Up,0.012,Up,0.018,Up,0.019,Up,0.04,Up
1980-01-10,0.0,110.86000061035156,108.47000122070312,109.88999938964844,55980000,,,,,,,,1.0%,,0,0.0,Down,0.011,Up,0.007,Up,0.02,Up,0.035,Up
1980-01-11,0.0,111.16000366210938,108.88999938964844,109.91999816894533,52890000,,,,,,,,1.0%,,0,0.004,Up,0.01,Up,0.01,Up,0.014,Up,0.034,Up
1980-01-14,0.0,111.44000244140624,109.33999633789062,110.37999725341795,52930000,,,,,,,,1.0%,,0,0.007,Up,0.003,Up,0.016,Up,0.028,Up,0.04,Up
1980-01-15,0.0,111.93000030517578,109.4499969482422,111.13999938964844,52320000,,,,,,,,1.0%,,0,-0.001,Down,-0.001,Down,0.003,Up,0.023,Up,0.026,Up
1980-01-16,0.0,112.9000015258789,110.37999725341795,111.0500030517578,67700000,,,,,,,,1.0%,,0,-0.003,Down,0.009,Up,0.022,Up,0.023,Up,0.037,Up
1980-01-17,0.0,112.01000213623048,109.80999755859376,110.6999969482422,54170000,,,,,,,,1.0%,,0,0.003,Up,0.007,Up,0.027,Up,0.037,Up,0.031,Up
1980-01-18,0.0,111.73999786376952,109.87999725341795,111.06999969482422,47150000,,,,,,,,1.0%,,0,0.009,Up,0.021,Up,0.023,Up,0.027,Up,0.036,Up
1980-01-21,0.0,112.9000015258789,110.66000366210938,112.0999984741211,48040000,,,,,,,,1.0%,,0,-0.005,Down,0.014,Up,0.025,Up,0.028,Up,0.02,Up
1980-01-22,0.0,113.0999984741211,110.91999816894533,111.51000213623048,50620000,,,,,,,,1.0%,,0,0.017,Up,0.019,Up,0.023,Up,0.024,Up,0.028,Up
1980-01-23,0.0,113.93000030517578,110.93000030517578,113.44000244140624,50730000,,,,,,,,1.0%,,0,0.002,Up,0.012,Up,0.016,Up,0.015,Up,0.02,Up
1980-01-24,0.0,115.2699966430664,112.9499969482422,113.6999969482422,59070000,,,,,,,,1.0%,,0,-0.001,Down,0.003,Up,0.004,Up,0.006,Up,0.023,Up
1980-01-25,0.0,114.4499969482422,112.36000061035156,113.61000061035156,47100000,,,,,,,,1.0%,,0,0.011,Up,0.014,Up,0.013,Up,0.009,Up,0.038,Up
1980-01-28,0.0,115.6500015258789,112.93000030517578,114.8499984741211,53620000,,,,,,,,1.0%,,0,-0.007,Down,-0.006,Down,-0.004,Down,0.008,Up,0.02,Up
1980-01-29,0.0,115.7699966430664,113.02999877929688,114.06999969482422,55480000,110.48699951171876,115.962530884782,105.0114681386555,-1.632019563145064,3.242915636174394,8.626230750538573,Middle_Break_Up,1.0%,Real,1,0.01,Up,0.009,Up,0.005,Up,0.019,Up,0.034,Up
1980-01-30,0.0,115.8499984741211,113.37000274658205,115.1999969482422,51170000,110.95899925231932,116.35009162090836,105.5679068837303,-0.9884776682543516,3.8221304486343755,9.124070324819861,Upper_Touch,1.0%,Apparent,1,-0.009,Down,-0.007,Down,0.005,Up,0.024,Up,0.028,Up
1980-01-31,0.0,117.16999816894533,113.77999877929688,114.16000366210938,65900000,111.40599937438964,116.27700611376586,106.53499263501344,-1.8206544203461912,2.472043070557327,7.157283103420356,Middle_Break_Up,1.0%,Real,1,0.008,Up,0.004,Up,0.019,Up,0.026,Up,0.022,Up
1980-02-01,0.0,115.54000091552734,113.12999725341795,115.12000274658205,46610000,111.83599967956545,116.41543908596356,107.2565602731673,-1.1127702215038104,2.936445399000308,7.331432644667771,Middle_Break_Up,1.0%,Real,2,-0.007,Down,0.005,Up,0.025,Up,0.024,Up,0.003,Up
1980-02-04,0.0,116.01000213623048,113.83000183105467,114.37000274658205,43070000,112.21399993896485,116.2922131919935,108.1357866859362,-1.6529141484632026,1.921331392508855,5.7651738168347295,Middle_Break_Up,1.0%,Real,3,0.003,Up,0.017,Up,0.024,Up,0.036,Up,0.002,Up
1980-02-05,0.0,115.25,112.1500015258789,114.66000366210938,41880000,112.4995002746582,116.42016671143818,108.57883383787822,-1.5119056251582186,1.920455986183478,5.600695466402873,Middle_Break_Up,1.0%,Real,4,0.009,Up,0.029,Up,0.028,Up,0.018,Up,0.016,Up
