Date,Next_Close,Close_x,RSI,RSI_DwellTime_Over70,RSI_DwellTime_Under30,RSI_Slope_5,RSI_DistanceTo50,RSI_Divergence,RSI_OverboughtCount_14,RSI_OversoldCount_14,RSI_Close_Corr_14,RSI_Volatility_14,RSI_ExtremeCount_14,Open,High,Low,Close_y,Volume_x,MACD,Signal_Line,MACD_Histogram,MACD_Crossover,MACD_Gap,MACD_Histogram_Change,MACD_Crossover_Strength,MACD_Slope_5,MACD_Price_Divergence,MACD_Extreme,MACD_Mean_Change_5,Close_bb,Moving_Avg,Upper_Band,Lower_Band,Bandwidth,Percent_B,Price_Deviation,Slope,Divergence,Close_sp500,Volume_y
1980-01-02,105.22000,105.76000,,0,0,0.00000,,0,,,,,,0.00000,108.43000,105.29000,105.76000,40610000,0.00000,0.00000,0.00000,0,0.00000,,0.00000,0.00000,0,0,0.00000,105.76000,,,,,,,,0.00000,105.76000,40610000
1980-01-03,106.52000,105.22000,,0,0,0.00000,,0,,,,,,0.00000,106.08000,103.26000,105.22000,50480000,-0.04308,-0.00862,-0.03446,0,-0.03446,-0.03446,0.00000,0.00000,0,0,0.00000,105.22000,,,,,,,,0.00000,105.22000,50480000
1980-01-04,106.81000,106.52000,,0,0,0.00000,,0,,,,,,0.00000,107.08000,105.09000,106.52000,39130000,0.02737,-0.00142,0.02879,1,0.02879,0.06325,0.02879,0.00000,0,0,0.00000,106.52000,,,,,,,,0.00000,106.52000,39130000
1980-01-07,108.95000,106.81000,,0,0,0.00000,,0,,,,,,0.00000,107.80000,105.80000,106.81000,44500000,0.10538,0.01994,0.08544,0,0.08544,0.05665,0.00000,0.00000,0,0,0.00000,106.81000,,,,,,,,0.00000,106.81000,44500000
1980-01-08,109.05000,108.95000,,0,0,0.00000,,0,,,,,,0.00000,109.29000,106.29000,108.95000,53390000,0.33601,0.08316,0.25286,0,0.25286,0.16742,0.00000,0.00000,0,0,0.00000,108.95000,,,,,,,,0.00000,108.95000,53390000
1980-01-09,109.89000,109.05000,,0,0,0.00000,,0,,,,,,0.00000,111.09000,108.41000,109.05000,65260000,0.52086,0.17070,0.35016,0,0.35016,0.09730,0.00000,0.52086,0,0,0.10417,109.05000,,,,,,,,0.00000,109.05000,65260000
1980-01-10,109.92000,109.89000,,0,0,0.00000,,0,,,,,,0.00000,110.86000,108.47000,109.89000,55980000,0.72675,0.28191,0.44484,0,0.44484,0.09468,0.00000,0.76983,0,0,0.15397,109.89000,,,,,,,,0.00000,109.89000,55980000
1980-01-11,110.38000,109.92000,,0,0,0.00000,,0,,,,,,0.00000,111.16000,108.89000,109.92000,52890000,0.88217,0.40196,0.48021,0,0.48021,0.03537,0.00000,0.85481,0,0,0.17096,109.92000,,,,,,,,0.00000,109.92000,52890000
1980-01-14,111.14000,110.38000,,0,0,0.00000,,0,,,,,,0.00000,111.44000,109.34000,110.38000,52930000,1.03059,0.52769,0.50290,0,0.50290,0.02269,0.00000,0.92521,0,0,0.18504,110.38000,,,,,,,,0.00000,110.38000,52930000
1980-01-15,111.05000,111.14000,,0,0,0.00000,,0,,,,,,0.00000,111.93000,109.45000,111.14000,52320000,1.19575,0.66130,0.53445,0,0.53445,0.03155,0.00000,0.85973,0,0,0.17195,111.14000,,,,,,,,0.00000,111.14000,52320000
1980-01-16,110.70000,111.05000,,0,0,0.00000,,0,,,,,,0.00000,112.90000,110.38000,111.05000,67700000,1.30434,0.78991,0.51443,0,0.51443,-0.02002,0.00000,0.78348,1,0,0.15670,111.05000,,,,,,,,0.00000,111.05000,67700000
1980-01-17,111.07000,110.70000,,0,0,0.00000,,0,,,,,,0.00000,112.01000,109.81000,110.70000,54170000,1.34663,0.90125,0.44538,0,0.44538,-0.06905,0.00000,0.61988,1,0,0.12398,110.70000,,,,,,,,0.00000,110.70000,54170000
1980-01-18,112.10000,111.07000,,0,0,0.00000,,0,,,,,,0.00000,111.74000,109.88000,111.07000,47150000,1.39394,0.99979,0.39415,0,0.39415,-0.05123,0.00000,0.51177,0,0,0.10235,111.07000,,,,,,,,0.00000,111.07000,47150000
1980-01-21,111.51000,112.10000,,0,0,0.00000,,0,0.00000,0.00000,,,0.00000,0.00000,112.90000,110.66000,112.10000,48040000,1.49728,1.09929,0.39800,0,0.39800,0.00384,0.00000,0.46670,0,0,0.09334,112.10000,,,,,,,,0.00000,112.10000,48040000
1980-01-22,113.44000,111.51000,79.03999,1,0,0.00000,29.03999,0,1.00000,0.00000,,,0.00000,0.00000,113.10000,110.92000,111.51000,50620000,1.51412,1.18226,0.33187,0,0.33187,-0.06613,0.00000,0.31838,1,0,0.06368,111.51000,,,,,,,,0.00000,111.51000,50620000
1980-01-23,113.70000,113.44000,84.82342,2,0,0.00000,34.82342,0,2.00000,0.00000,,,1.00000,0.00000,113.93000,110.93000,113.44000,50730000,1.66402,1.27861,0.38541,0,0.38541,0.05354,0.00000,0.35968,0,0,0.07194,113.44000,,,,,,,,0.00000,113.44000,50730000
1980-01-24,113.61000,113.70000,85.40755,3,0,0.00000,35.40755,0,3.00000,0.00000,,,2.00000,0.00000,115.27000,112.95000,113.70000,59070000,1.78324,1.37953,0.40370,0,0.40370,0.01829,0.00000,0.43661,0,0,0.08732,113.70000,,,,,,,,0.00000,113.70000,59070000
