Date,RSI_Overbought,RSI_Oversold,RSI_Overbought_Streak,RSI_Oversold_Streak,RSI_CrossOver_70,RSI_CrossUnder_30,RSI_Slope
1980-01-02,0,0,0,0,0,0,0.00000
1980-01-03,0,0,0,0,0,0,
1980-01-04,0,0,0,0,0,0,
1980-01-07,0,0,0,0,0,0,
1980-01-08,0,0,0,0,0,0,
1980-01-09,0,0,0,0,0,0,
1980-01-10,0,0,0,0,0,0,
1980-01-11,0,0,0,0,0,0,
1980-01-14,0,0,0,0,0,0,
1980-01-15,0,0,0,0,0,0,
1980-01-16,0,0,0,0,0,0,
1980-01-17,0,0,0,0,0,0,
1980-01-18,0,0,0,0,0,0,
1980-01-21,0,0,0,0,0,0,
1980-01-22,1,0,1,0,0,0,
1980-01-23,1,0,2,0,0,0,5.78343
1980-01-24,1,0,3,0,0,0,0.58414
1980-01-25,1,0,4,0,0,0,-1.20808
1980-01-28,1,0,5,0,0,0,2.74098
1980-01-29,1,0,6,0,0,0,-9.14242
1980-01-30,1,0,7,0,0,0,3.12912
1980-01-31,1,0,8,0,0,0,-9.91919
1980-02-01,1,0,9,0,0,0,3.14886
1980-02-04,0,0,0,0,0,0,-6.20904
1980-02-05,0,0,0,0,0,0,1.07987
1980-02-06,1,0,1,0,1,0,3.62655
1980-02-07,1,0,2,0,0,0,1.70792
1980-02-08,1,0,3,0,0,0,4.28333
1980-02-11,1,0,4,0,0,0,-6.45536
1980-02-12,1,0,5,0,0,0,2.13301
1980-02-13,1,0,6,0,0,0,1.38890
1980-02-14,0,0,0,0,0,0,-11.84934
1980-02-15,0,0,0,0,0,0,-7.26528
1980-02-19,0,0,0,0,0,0,-3.98557
1980-02-20,0,0,0,0,0,0,7.06051
1980-02-21,0,0,0,0,0,0,-5.52848
1980-02-22,0,0,0,0,0,0,-1.06801
1980-02-25,0,0,0,0,0,0,-6.97727
1980-02-26,0,0,0,0,0,0,2.75250
1980-02-27,0,0,0,0,0,0,-5.82448
1980-02-28,0,0,0,0,0,0,-0.10333
1980-02-29,0,0,0,0,0,0,5.79222
1980-03-03,0,0,0,0,0,0,-4.29841
1980-03-04,0,0,0,0,0,0,1.24628
1980-03-05,0,0,0,0,0,0,-5.68822
1980-03-06,0,0,0,0,0,0,-6.70777
1980-03-07,0,1,0,1,0,1,-3.76232
1980-03-10,0,1,0,2,0,0,-0.77968
1980-03-11,0,0,0,0,0,0,6.04487
1980-03-12,0,0,0,0,0,0,-2.13575
1980-03-13,0,1,0,1,0,1,-2.71834
1980-03-14,0,1,0,2,0,0,-0.40242
1980-03-17,0,1,0,3,0,0,-5.74478
1980-03-18,0,0,0,0,0,0,8.26909
1980-03-19,0,0,0,0,0,0,0.89418
1980-03-20,0,0,0,0,0,0,-2.44766
1980-03-21,0,1,0,1,0,1,-1.57506
1980-03-24,0,1,0,2,0,0,-4.98059
1980-03-25,0,1,0,3,0,0,-0.13114
1980-03-26,0,1,0,4,0,0,-0.77019
1980-03-27,0,1,0,5,0,0,-0.70184
1980-03-28,0,0,0,0,0,0,11.59837
1980-03-31,0,0,0,0,0,0,5.57623
1980-04-01,0,0,0,0,0,0,0.34895
1980-04-02,0,0,0,0,0,0,2.00638
1980-04-03,0,0,0,0,0,0,-1.53528
1980-04-07,0,0,0,0,0,0,-5.13934
1980-04-08,0,0,0,0,0,0,4.28204
1980-04-09,0,0,0,0,0,0,7.17876
1980-04-10,0,0,0,0,0,0,3.24984
1980-04-11,0,0,0,0,0,0,-0.95955
1980-04-14,0,0,0,0,0,0,-3.10909
1980-04-15,0,0,0,0,0,0,-0.68278
1980-04-16,0,0,0,0,0,0,-3.47063
1980-04-17,0,0,0,0,0,0,-1.49536
1980-04-18,0,0,0,0,0,0,-1.52418
1980-04-21,0,0,0,0,0,0,-2.23194
1980-04-22,0,0,0,0,0,0,14.71022
1980-04-23,0,0,0,0,0,0,0.98604
1980-04-24,0,0,0,0,0,0,2.21614
1980-04-25,0,0,0,0,0,0,2.44377
1980-04-28,0,0,0,0,0,0,1.51795
1980-04-29,0,0,0,0,0,0,0.71063
1980-04-30,0,0,0,0,0,0,1.41940
1980-05-01,0,0,0,0,0,0,-4.05658
1980-05-02,0,0,0,0,0,0,0.45141
1980-05-05,0,0,0,0,0,0,2.98553
1980-05-06,0,0,0,0,0,0,-0.71489
1980-05-07,0,0,0,0,0,0,3.45020
1980-05-08,0,0,0,0,0,0,-5.81612
1980-05-09,0,0,0,0,0,0,-6.72434
1980-05-12,0,0,0,0,0,0,0.27017
1980-05-13,0,0,0,0,0,0,6.38941
1980-05-14,0,0,0,0,0,0,2.06644
1980-05-15,0,0,0,0,0,0,0.53250
1980-05-16,0,0,0,0,0,0,1.40540
1980-05-19,0,0,0,0,0,0,1.25741
1980-05-20,0,0,0,0,0,0,-0.33122
1980-05-21,0,0,0,0,0,0,0.43756
1980-05-22,0,0,0,0,0,0,5.18848
1980-05-23,1,0,1,0,1,0,5.08673
1980-05-27,1,0,2,0,0,0,2.07428
1980-05-28,1,0,3,0,0,0,1.63692
1980-05-29,0,0,0,0,0,0,-11.95197
1980-05-30,0,0,0,0,0,0,3.02077
1980-06-02,0,0,0,0,0,0,-2.87575
1980-06-03,0,0,0,0,0,0,-1.50761
1980-06-04,0,0,0,0,0,0,6.53550
1980-06-05,0,0,0,0,0,0,0.46286
1980-06-06,1,0,1,0,1,0,1.16631
1980-06-09,1,0,2,0,0,0,1.39622
1980-06-10,1,0,3,0,0,0,2.43281
1980-06-11,1,0,4,0,0,0,3.01421
1980-06-12,1,0,5,0,0,0,-3.49905
1980-06-13,1,0,6,0,0,0,0.70565
1980-06-16,1,0,7,0,0,0,0.69391
1980-06-17,1,0,8,0,0,0,-0.47949
1980-06-18,1,0,9,0,0,0,0.63465
1980-06-19,0,0,0,0,0,0,-12.15733
1980-06-20,0,0,0,0,0,0,-3.87101
1980-06-23,0,0,0,0,0,0,1.88672
1980-06-24,0,0,0,0,0,0,2.53238
1980-06-25,0,0,0,0,0,0,5.42212
1980-06-26,0,0,0,0,0,0,-3.60444
1980-06-27,0,0,0,0,0,0,-1.29361
1980-06-30,0,0,0,0,0,0,-10.58156
1980-07-01,0,0,0,0,0,0,2.96616
1980-07-02,0,0,0,0,0,0,3.01937
1980-07-03,0,0,0,0,0,0,6.08156
1980-07-07,0,0,0,0,0,0,2.40473
1980-07-08,0,0,0,0,0,0,-2.73163
1980-07-09,0,0,0,0,0,0,0.45006
1980-07-10,0,0,0,0,0,0,-6.26391
1980-07-11,0,0,0,0,0,0,3.23152
1980-07-14,0,0,0,0,0,0,6.43386
1980-07-15,0,0,0,0,0,0,-4.04913
1980-07-16,0,0,0,0,0,0,0.97118
1980-07-17,1,0,1,0,1,0,4.77703
1980-07-18,1,0,2,0,0,0,1.39038
1980-07-21,1,0,3,0,0,0,1.07198
1980-07-22,1,0,4,0,0,0,-2.07219
1980-07-23,1,0,5,0,0,0,-1.72007
1980-07-24,0,0,0,0,0,0,-0.96018
1980-07-25,0,0,0,0,0,0,-6.64956
1980-07-28,0,0,0,0,0,0,2.34828
1980-07-29,0,0,0,0,0,0,3.21488
1980-07-30,0,0,0,0,0,0,-1.15222
1980-07-31,0,0,0,0,0,0,-3.79052
1980-08-01,0,0,0,0,0,0,-3.01194
1980-08-04,0,0,0,0,0,0,-1.50562
1980-08-05,0,0,0,0,0,0,-1.60438
1980-08-06,0,0,0,0,0,0,3.89988
1980-08-07,0,0,0,0,0,0,6.81556
1980-08-08,0,0,0,0,0,0,1.03937
1980-08-11,1,0,1,0,1,0,3.61639
1980-08-12,0,0,0,0,0,0,-6.88805
1980-08-13,0,0,0,0,0,0,-3.28385
1980-08-14,0,0,0,0,0,0,6.53891
1980-08-15,1,0,1,0,1,0,1.33080
1980-08-18,0,0,0,0,0,0,-12.94610
1980-08-19,0,0,0,0,0,0,-3.60931
1980-08-20,0,0,0,0,0,0,4.26483
1980-08-21,0,0,0,0,0,0,5.27447
1980-08-22,0,0,0,0,0,0,1.57716
1980-08-25,0,0,0,0,0,0,-4.25203
1980-08-26,0,0,0,0,0,0,-1.55079
1980-08-27,0,0,0,0,0,0,-6.02387
1980-08-28,0,0,0,0,0,0,-5.66896
1980-08-29,0,0,0,0,0,0,1.24605
1980-09-02,0,0,0,0,0,0,5.32771
1980-09-03,0,0,0,0,0,0,7.54041
1980-09-04,0,0,0,0,0,0,-2.99876
1980-09-05,0,0,0,0,0,0,-2.27650
1980-09-08,0,0,0,0,0,0,-6.10163
1980-09-09,0,0,0,0,0,0,2.70114
1980-09-10,0,0,0,0,0,0,2.53674
1980-09-11,0,0,0,0,0,0,2.78622
1980-09-12,0,0,0,0,0,0,-0.54003
1980-09-15,0,0,0,0,0,0,0.46010
1980-09-16,0,0,0,0,0,0,3.68270
1980-09-17,0,0,0,0,0,0,6.07176
1980-09-18,0,0,0,0,0,0,-2.43525
1980-09-19,0,0,0,0,0,0,2.29226
1980-09-22,1,0,1,0,1,0,2.84819
1980-09-23,0,0,0,0,0,0,-5.15871
1980-09-24,0,0,0,0,0,0,2.48808
1980-09-25,0,0,0,0,0,0,-8.01402
1980-09-26,0,0,0,0,0,0,-9.23163
1980-09-29,0,0,0,0,0,0,-8.31360
1980-09-30,0,0,0,0,0,0,6.28990
1980-10-01,0,0,0,0,0,0,4.76861
1980-10-02,0,0,0,0,0,0,2.53522
1980-10-03,0,0,0,0,0,0,3.10308
1980-10-06,0,0,0,0,0,0,5.25136
1980-10-07,0,0,0,0,0,0,-2.55569
1980-10-08,0,0,0,0,0,0,1.42556
1980-10-09,0,0,0,0,0,0,-2.25891
1980-10-10,0,0,0,0,0,0,-2.75234
1980-10-13,0,0,0,0,0,0,4.30438
1980-10-14,0,0,0,0,0,0,-0.03915
1980-10-15,0,0,0,0,0,0,3.88648
1980-10-16,0,0,0,0,0,0,-5.84155
1980-10-17,0,0,0,0,0,0,-2.59479
1980-10-20,0,0,0,0,0,0,2.86825
1980-10-21,0,0,0,0,0,0,-2.94942
1980-10-22,0,0,0,0,0,0,0.23141
1980-10-23,0,0,0,0,0,0,-8.58309
1980-10-24,0,0,0,0,0,0,1.07000
1980-10-27,0,0,0,0,0,0,-6.13184
1980-10-28,0,0,0,0,0,0,0.62902
1980-10-29,0,0,0,0,0,0,-0.44048
1980-10-30,0,0,0,0,0,0,-4.83988
1980-10-31,0,0,0,0,0,0,4.79569
1980-11-03,0,0,0,0,0,0,5.68388
1980-11-05,0,0,0,0,0,0,6.91399
1980-11-06,0,0,0,0,0,0,-7.69697
1980-11-07,0,0,0,0,0,0,0.81663
1980-11-10,0,0,0,0,0,0,0.94345
1980-11-11,0,0,0,0,0,0,5.27984
1980-11-12,0,0,0,0,0,0,7.80664
1980-11-13,0,0,0,0,0,0,3.55534
1980-11-14,0,0,0,0,0,0,1.15636
1980-11-17,0,0,0,0,0,0,1.05518
1980-11-18,1,0,1,0,1,0,3.19310
1980-11-19,1,0,2,0,0,0,-2.61466
1980-11-20,1,0,3,0,0,0,2.22653
1980-11-21,0,0,0,0,0,0,-5.21948
1980-11-24,0,0,0,0,0,0,-3.08644
1980-11-25,0,0,0,0,0,0,2.12348
1980-11-26,0,0,0,0,0,0,1.68315
1980-11-28,0,0,0,0,0,0,0.70183
1980-12-01,0,0,0,0,0,0,-12.53423
1980-12-02,0,0,0,0,0,0,-0.78890
1980-12-03,0,0,0,0,0,0,-0.89278
1980-12-04,0,0,0,0,0,0,-0.82419
1980-12-05,0,0,0,0,0,0,-7.93408
1980-12-08,0,0,0,0,0,0,-8.31447
1980-12-09,0,0,0,0,0,0,-0.27640
1980-12-10,0,0,0,0,0,0,-4.44162
1980-12-11,0,0,0,0,0,0,-1.62235
1980-12-12,0,0,0,0,0,0,6.89381
1980-12-15,0,0,0,0,0,0,0.77626
1980-12-16,0,0,0,0,0,0,4.03133
1980-12-17,0,0,0,0,0,0,7.07772
1980-12-18,0,0,0,0,0,0,0.31883
1980-12-19,0,0,0,0,0,0,2.08044
1980-12-22,0,0,0,0,0,0,5.62795
1980-12-23,0,0,0,0,0,0,-1.64596
1980-12-24,0,0,0,0,0,0,1.56302
1980-12-26,0,0,0,0,0,0,1.84655
1980-12-29,0,0,0,0,0,0,-5.67130
1980-12-30,0,0,0,0,0,0,0.90090
1980-12-31,0,0,0,0,0,0,1.32341
1981-01-02,0,0,0,0,0,0,1.78985
1981-01-05,0,0,0,0,0,0,4.62418
1981-01-06,0,0,0,0,0,0,0.40344
1981-01-07,0,0,0,0,0,0,-12.00277
1981-01-08,0,0,0,0,0,0,-6.11831
1981-01-09,0,0,0,0,0,0,1.44233
1981-01-12,0,0,0,0,0,0,0.14371
1981-01-13,0,0,0,0,0,0,-0.75742
1981-01-14,0,0,0,0,0,0,0.73596
1981-01-15,0,0,0,0,0,0,3.07073
1981-01-16,0,0,0,0,0,0,2.18705
1981-01-19,0,0,0,0,0,0,-1.69626
1981-01-20,0,0,0,0,0,0,-9.68649
1981-01-21,0,0,0,0,0,0,-0.87719
1981-01-22,0,0,0,0,0,0,-3.21920
1981-01-23,0,0,0,0,0,0,-0.08662
1981-01-26,0,0,0,0,0,0,-1.17063
1981-01-27,0,0,0,0,0,0,6.68318
1981-01-28,0,0,0,0,0,0,-2.63063
1981-01-29,0,0,0,0,0,0,-0.33729
1981-01-30,0,0,0,0,0,0,-2.33485
1981-02-02,0,1,0,1,0,1,-7.23895
1981-02-03,0,0,0,0,0,0,7.93108
1981-02-04,0,0,0,0,0,0,0.62981
1981-02-05,0,0,0,0,0,0,4.94599
1981-02-06,0,0,0,0,0,0,4.23616
1981-02-09,0,0,0,0,0,0,-4.60367
1981-02-10,0,0,0,0,0,0,-0.10060
1981-02-11,0,0,0,0,0,0,-3.31891
1981-02-12,0,0,0,0,0,0,-2.35092
1981-02-13,0,0,0,0,0,0,-1.50038
1981-02-17,0,0,0,0,0,0,4.45513
1981-02-18,0,0,0,0,0,0,3.40486
1981-02-19,0,0,0,0,0,0,-6.19007
1981-02-20,0,0,0,0,0,0,-0.09126
1981-02-23,0,0,0,0,0,0,4.08717
1981-02-24,0,0,0,0,0,0,0.21316
1981-02-25,0,0,0,0,0,0,5.82530
1981-02-26,0,0,0,0,0,0,6.88658
1981-02-27,0,0,0,0,0,0,4.33606
1981-03-02,0,0,0,0,0,0,2.51753
1981-03-03,0,0,0,0,0,0,-6.76870
1981-03-04,0,0,0,0,0,0,1.12902
1981-03-05,0,0,0,0,0,0,-4.11883
1981-03-06,0,0,0,0,0,0,-0.35037
1981-03-09,0,0,0,0,0,0,5.25579
1981-03-10,0,0,0,0,0,0,-3.10482
1981-03-11,0,0,0,0,0,0,-2.33103
1981-03-12,0,0,0,0,0,0,11.62809
1981-03-13,0,0,0,0,0,0,-0.38048
1981-03-16,0,0,0,0,0,0,4.45039
1981-03-17,0,0,0,0,0,0,-3.72941
1981-03-18,0,0,0,0,0,0,0.89155
1981-03-19,0,0,0,0,0,0,-3.79773
1981-03-20,0,0,0,0,0,0,2.05321
1981-03-23,0,0,0,0,0,0,4.78048
1981-03-24,0,0,0,0,0,0,-5.12439
1981-03-25,0,0,0,0,0,0,6.51608
1981-03-26,0,0,0,0,0,0,-3.92235
1981-03-27,0,0,0,0,0,0,-6.84529
1981-03-30,0,0,0,0,0,0,-1.46333
1981-03-31,0,0,0,0,0,0,5.13259
1981-04-01,0,0,0,0,0,0,1.55831
1981-04-02,0,0,0,0,0,0,-1.12662
1981-04-03,0,0,0,0,0,0,-3.71304
1981-04-06,0,0,0,0,0,0,-6.27931
1981-04-07,0,0,0,0,0,0,-0.07699
1981-04-08,0,0,0,0,0,0,1.56138
1981-04-09,0,0,0,0,0,0,1.42183
1981-04-10,0,0,0,0,0,0,-0.75384
1981-04-13,0,0,0,0,0,0,-6.02821
1981-04-14,0,0,0,0,0,0,-1.90703
1981-04-15,0,0,0,0,0,0,6.71090
1981-04-16,0,0,0,0,0,0,2.15647
1981-04-20,0,0,0,0,0,0,2.93974
1981-04-21,0,0,0,0,0,0,-5.69837
1981-04-22,0,0,0,0,0,0,-0.40403
1981-04-23,0,0,0,0,0,0,-0.94147
1981-04-24,0,0,0,0,0,0,5.38759
1981-04-27,0,0,0,0,0,0,1.42122
1981-04-28,0,0,0,0,0,0,-5.84777
1981-04-29,0,0,0,0,0,0,-5.59142
1981-04-30,0,0,0,0,0,0,-0.98265
1981-05-01,0,0,0,0,0,0,-0.38478
1981-05-04,0,0,0,0,0,0,-7.70778
1981-05-05,0,0,0,0,0,0,-1.13076
1981-05-06,0,0,0,0,0,0,2.76904
1981-05-07,0,0,0,0,0,0,5.07456
1981-05-08,0,0,0,0,0,0,-0.04204
1981-05-11,0,0,0,0,0,0,-7.31297
1981-05-12,0,0,0,0,0,0,5.63441
1981-05-13,0,0,0,0,0,0,-0.63829
1981-05-14,0,0,0,0,0,0,4.00203
1981-05-15,0,0,0,0,0,0,4.50477
1981-05-18,0,0,0,0,0,0,1.78859
1981-05-19,0,0,0,0,0,0,-2.22098
1981-05-20,0,0,0,0,0,0,-0.45311
1981-05-21,0,0,0,0,0,0,-1.30629
1981-05-22,0,0,0,0,0,0,-2.19118
1981-05-26,0,0,0,0,0,0,8.19487
1981-05-27,0,0,0,0,0,0,4.70410
1981-05-28,0,0,0,0,0,0,-1.90231
1981-05-29,0,0,0,0,0,0,-4.85729
1981-06-01,0,0,0,0,0,0,-0.97967
1981-06-02,0,0,0,0,0,0,-8.52338
1981-06-03,0,0,0,0,0,0,0.54196
1981-06-04,0,0,0,0,0,0,1.56307
1981-06-05,0,0,0,0,0,0,7.20784
1981-06-08,0,0,0,0,0,0,0.10735
1981-06-09,0,0,0,0,0,0,-1.54386
1981-06-10,0,0,0,0,0,0,2.08427
1981-06-11,0,0,0,0,0,0,7.45469
1981-06-12,0,0,0,0,0,0,-1.69735
1981-06-15,0,0,0,0,0,0,0.61268
1981-06-16,0,0,0,0,0,0,-9.01735
1981-06-17,0,0,0,0,0,0,6.14705
1981-06-18,0,0,0,0,0,0,-8.50160
1981-06-19,0,0,0,0,0,0,3.18861
1981-06-22,0,0,0,0,0,0,-1.54506
1981-06-23,0,0,0,0,0,0,6.72439
1981-06-24,0,0,0,0,0,0,-3.48242
1981-06-25,0,0,0,0,0,0,0.72278
1981-06-26,0,0,0,0,0,0,-1.33341
1981-06-29,0,0,0,0,0,0,-3.48947
1981-06-30,0,0,0,0,0,0,-3.29992
1981-07-01,0,0,0,0,0,0,-6.02842
1981-07-02,0,0,0,0,0,0,-3.93051
1981-07-06,0,1,0,1,0,1,-3.78054
1981-07-07,0,0,0,0,0,0,5.37282
1981-07-08,0,0,0,0,0,0,0.48762
1981-07-09,0,0,0,0,0,0,5.80754
1981-07-10,0,0,0,0,0,0,0.40353
1981-07-13,0,0,0,0,0,0,1.61847
1981-07-14,0,0,0,0,0,0,0.06265
1981-07-15,0,0,0,0,0,0,3.65744
1981-07-16,0,0,0,0,0,0,0.68944
1981-07-17,0,0,0,0,0,0,2.65510
1981-07-20,0,0,0,0,0,0,-10.65741
1981-07-21,0,0,0,0,0,0,-1.61925
1981-07-22,0,0,0,0,0,0,-4.67731
1981-07-23,0,0,0,0,0,0,1.89054
1981-07-24,0,0,0,0,0,0,6.93038
1981-07-27,0,0,0,0,0,0,7.81905
1981-07-28,0,0,0,0,0,0,-3.60605
1981-07-29,0,0,0,0,0,0,0.10816
1981-07-30,0,0,0,0,0,0,4.51967
1981-07-31,0,0,0,0,0,0,4.34304
1981-08-03,0,0,0,0,0,0,-2.47010
1981-08-04,0,0,0,0,0,0,3.30853
1981-08-05,0,0,0,0,0,0,6.06565
1981-08-06,0,0,0,0,0,0,-0.18852
1981-08-07,0,0,0,0,0,0,-5.47768
1981-08-10,0,0,0,0,0,0,3.33899
1981-08-11,0,0,0,0,0,0,4.83256
1981-08-12,0,0,0,0,0,0,-2.79884
1981-08-13,0,0,0,0,0,0,0.42256
1981-08-14,0,0,0,0,0,0,-6.30431
1981-08-17,0,0,0,0,0,0,-6.69976
1981-08-18,0,0,0,0,0,0,-4.99777
1981-08-19,0,0,0,0,0,0,1.97819
1981-08-20,0,0,0,0,0,0,1.05964
1981-08-21,0,0,0,0,0,0,-6.44651
1981-08-24,0,0,0,0,0,0,-11.18379
1981-08-25,0,1,0,1,0,1,-0.84651
1981-08-26,0,1,0,2,0,0,-0.40148
1981-08-27,0,1,0,3,0,0,-3.22988
1981-08-28,0,1,0,4,0,0,3.36676
1981-08-31,0,1,0,5,0,0,-2.87922
1981-09-01,0,1,0,6,0,0,1.38331
1981-09-02,0,0,0,0,0,0,2.86909
1981-09-03,0,1,0,1,0,1,-5.14245
1981-09-04,0,1,0,2,0,0,-2.18462
1981-09-08,0,1,0,3,0,0,-3.29001
1981-09-09,0,1,0,4,0,0,2.40742
1981-09-10,0,0,0,0,0,0,9.18901
1981-09-11,0,0,0,0,0,0,6.65858
1981-09-14,0,0,0,0,0,0,-2.40183
1981-09-15,0,0,0,0,0,0,-2.13394
1981-09-16,0,0,0,0,0,0,-2.05064
1981-09-17,0,1,0,1,0,1,-3.51800
1981-09-18,0,1,0,2,0,0,-1.63850
1981-09-21,0,0,0,0,0,0,4.80380
1981-09-22,0,1,0,1,0,1,-1.19670
1981-09-23,0,1,0,2,0,0,-2.11741
1981-09-24,0,1,0,3,0,0,-1.25675
1981-09-25,0,1,0,4,0,0,-3.86271
1981-09-28,0,0,0,0,0,0,12.54850
1981-09-29,0,0,0,0,0,0,1.63942
1981-09-30,0,0,0,0,0,0,0.99152
1981-10-01,0,0,0,0,0,0,3.70658
1981-10-02,0,0,0,0,0,0,8.17988
1981-10-05,0,0,0,0,0,0,0.49362
1981-10-06,0,0,0,0,0,0,-0.42056
1981-10-07,0,0,0,0,0,0,6.34010
1981-10-08,0,0,0,0,0,0,2.90199
1981-10-09,0,0,0,0,0,0,-3.40359
1981-10-12,0,0,0,0,0,0,-0.94746
1981-10-13,0,0,0,0,0,0,-1.73977
1981-10-14,0,0,0,0,0,0,-7.21375
1981-10-15,0,0,0,0,0,0,3.43297
1981-10-16,0,0,0,0,0,0,-1.83964
1981-10-19,0,0,0,0,0,0,-0.75778
1981-10-20,0,0,0,0,0,0,5.16084
