Symbol,Security,GICS Sector,GICS Sub-Industry,Startdatum,Enddatum
MMM,3M,Industrials,Industrial Conglomerates,Aktuell,
AOS,A. O. Smith,Industrials,Building Products,Aktuell,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,Aktuell,
ABBV,AbbVie,Health Care,Biotechnology,Aktuell,
ACN,Accenture,Information Technology,IT Consulting & Other Services,Aktuell,
ADBE,Adobe Inc.,Information Technology,Application Software,Aktuell,
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Aktuell,
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Aktuell,
AFL,Aflac,Financials,Life & Health Insurance,Aktuell,
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Aktuell,
APD,Air Products,Materials,Industrial Gases,Aktuell,
"ABNB,Airbnb,Consumer Discretionary,""Hotels, Resorts & Cruise Lines"",Aktuell,"
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,Aktuell,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Aktuell,
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Aktuell,
ALGN,Align Technology,Health Care,Health Care Supplies,Aktuell,
ALLE,Allegion,Industrials,Building Products,Aktuell,
LNT,Alliant Energy,Utilities,Electric Utilities,Aktuell,
ALL,Allstate,Financials,Property & Casualty Insurance,Aktuell,
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Aktuell,
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Aktuell,
MO,Altria,Consumer Staples,Tobacco,Aktuell,
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Aktuell,
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Aktuell,
AMTM,Amentum,Industrials,Diversified Support Services,Aktuell,
AEE,Ameren,Utilities,Multi-Utilities,Aktuell,
AEP,American Electric Power,Utilities,Electric Utilities,Aktuell,
AXP,American Express,Financials,Consumer Finance,Aktuell,
AIG,American International Group,Financials,Multi-line Insurance,Aktuell,
AMT,American Tower,Real Estate,Telecom Tower REITs,Aktuell,
AWK,American Water Works,Utilities,Water Utilities,Aktuell,
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Aktuell,
AME,Ametek,Industrials,Electrical Components & Equipment,Aktuell,
AMGN,Amgen,Health Care,Biotechnology,Aktuell,
APH,Amphenol,Information Technology,Electronic Components,Aktuell,
ADI,Analog Devices,Information Technology,Semiconductors,Aktuell,
ANSS,Ansys,Information Technology,Application Software,Aktuell,
AON,Aon,Financials,Insurance Brokers,Aktuell,
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Aktuell,
"AAPL,Apple Inc.,Information Technology,""Technology Hardware, Storage & Peripherals"",Aktuell,"
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Aktuell,
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,Aktuell,
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,Aktuell,
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,Aktuell,
ANET,Arista Networks,Information Technology,Communications Equipment,Aktuell,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Aktuell,
AIZ,Assurant,Financials,Multi-line Insurance,Aktuell,
T,AT&T,Communication Services,Integrated Telecommunication Services,Aktuell,
ATO,Atmos Energy,Utilities,Gas Utilities,Aktuell,
ADSK,Autodesk,Information Technology,Application Software,Aktuell,
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,Aktuell,
AZO,AutoZone,Consumer Discretionary,Automotive Retail,Aktuell,
