Date,Removed_Ticker,Removed_Security
"October 1, 2024",BBWI,"Bath & Body Works, Inc."
"September 23, 2024",AAL,American Airlines Group
"September 23, 2024",ETSY,Etsy
"September 23, 2024",BIO,Bio-Rad Laboratories
"June 24, 2024",RHI,Robert Half
"June 24, 2024",CMA,Comerica
"June 24, 2024",ILMN,"Illumina, Inc."
"May 8, 2024",PXD,Pioneer Natural Resources
"April 3, 2024",XRAY,Dentsply Sirona
"April 3, 2024",VFC,VF Corporation
"March 18, 2024",WHR,Whirlpool Corporation
"March 18, 2024",ZION,Zions Bancorporation
"December 18, 2023",SEE,Sealed Air
"December 18, 2023",ALK,Alaska Air Group
"December 18, 2023",SEDG,SolarEdge
"October 18, 2023",OGN,Organon & Co.
"October 18, 2023",ATVI,Activision Blizzard
"October 3, 2023",DXC,DXC Technology
"September 18, 2023",LNC,Lincoln National Corporation
"September 18, 2023",NWL,Newell Brands
"August 25, 2023",AAP,Advance Auto Parts
"June 20, 2023",DISH,Dish Network
"May 4, 2023",FRC,First Republic Bank
"March 20, 2023",LUMN,Lumen Technologies
"March 15, 2023",SBNY,Signature Bank
"March 15, 2023",SIVB,SVB Financial Group
"January 5, 2023",VNO,Vornado Realty Trust
"December 22, 2022",ABMD,Abiomed
"December 19, 2022",FBHS,Fortune Brands Home & Security
"December 19, 2022",MBC,MasterBrand
"November 1, 2022",TWTR,Twitter
"October 12, 2022",NLSN,Nielsen Holdings
"October 3, 2022",CTXS,Citrix Systems
"October 3, 2022",DRE,Duke Realty
"September 19, 2022",PVH,PVH
"September 19, 2022",PENN,Penn Entertainment
"June 21, 2022",UA,Under Armour (Class C)
"June 21, 2022",UAA,Under Armour (Class A)
"June 21, 2022",IPGP,IPG Photonics
"June 8, 2022",CERN,Cerner
"April 4, 2022",PBCT,People's United Financial
"March 2, 2022",INFO,IHS Markit
"February 15, 2022",XLNX,Xilinx
"February 3, 2022",GPS,Gap
"December 20, 2021",LEG,Leggett & Platt
"December 20, 2021",HBI,Hanesbrands
"December 20, 2021",WU,Western Union
"December 14, 2021",KSU,Kansas City Southern
"September 20, 2021",PRGO,Perrigo
"September 20, 2021",UNM,Unum
"September 20, 2021",NOV,Nov
"August 30, 2021",MXIM,Maxim Integrated
"July 21, 2021",ALXN,Alexion Pharmaceuticals
"June 4, 2021",HFC,HollyFrontier
"May 14, 2021",FLIR,FLIR Systems
"April 20, 2021",VAR,Varian Medical Systems
"March 22, 2021",FLS,Flowserve
"March 22, 2021",SLG,SL Green Realty
"March 22, 2021",XRX,Xerox
"March 22, 2021",VNT,Vontier
"February 12, 2021",FTI,TechnipFMC
"January 21, 2021",CXO,Concho Resources
"January 7, 2021",TIF,Tiffany & Co
"December 21, 2020",AIV,Apartment Investment & Management
"October 12, 2020",NBL,Noble Energy
"October 7, 2020",ETFC,E-Trade
"September 21, 2020",HRB,H&R Block
"September 21, 2020",COTY,Coty
"September 21, 2020",KSS,Kohl's
"June 22, 2020",ADS,Alliance Data Systems
"June 22, 2020",HOG,Harley-Davidson
"June 22, 2020",JWN,Nordstrom
"May 22, 2020",HP,Helmerich & Payne
"May 12, 2020",CPRI,Capri Holdings
"May 12, 2020",AGN,Allergan
"April 6, 2020",M,Macy's
"April 6, 2020",RTN,Raytheon Company
"April 1, 2020",ARNC,Arconic
"March 2, 2020",XEC,Cimarex Energy
"January 28, 2020",WCG,WellCare
"December 23, 2019",AMG,Affiliated Managers Group
"December 23, 2019",TRIP,TripAdvisor
"December 23, 2019",MAC,Macerich
"December 9, 2019",STI,SunTrust Banks
"December 5, 2019",VIAB,Viacom
"November 21, 2019",CELG,Celgene
"October 3, 2019",NKTR,Nektar Therapeutics
"September 26, 2019",JEF,Jefferies Financial Group
"September 23, 2019",TSS,TSYS
"August 9, 2019",APC,Anadarko Petroleum
"August 9, 2019",FL,Foot Locker
"July 15, 2019",RHT,Red Hat
"July 1, 2019",LLL,L3 Technologies
"June 11, 2019",BMS,Bemis
"June 7, 2019",MAT,Mattel
"June 3, 2019",DWDP,DuPont
"June 3, 2019",FLR,Fluor Corporation
"April 2, 2019",BHF,Brighthouse Financial
"February 27, 2019",GT,The Goodyear Tire & Rubber Company
"February 15, 2019",NFX,Newfield Exploration
"January 18, 2019",PCG,Pacific Gas & Electric Company
"January 2, 2019",SCG,SCANA
"December 24, 2018",ESRX,Express Scripts
"December 3, 2018",COL,Rockwell Collins
"December 3, 2018",AET,Aetna
"December 3, 2018",SRCL,Stericycle
"November 13, 2018",EQT,EQT Corporation
"November 6, 2018",CA,CA Technologies
"October 11, 2018",EVHC,Envision Healthcare
"October 1, 2018",ANDV,Andeavor
"September 14, 2018",XL,XL Group
"August 28, 2018",GGP,GGP
"July 2, 2018",DPS,Dr Pepper Snapple Group
"June 20, 2018",TWX,Time Warner
"June 18, 2018",RRC,Range Resources
"June 18, 2018",AYI,Acuity Brands
"June 7, 2018",MON,Monsanto
"June 5, 2018",NAVI,Navient
"May 31, 2018",WYN,Wyndham Worldwide
"April 4, 2018",CSRA,CSRA
"March 19, 2018",SIG,Signet Jewelers
"March 19, 2018",PDCO,Patterson Companies
"March 19, 2018",CHK,Chesapeake Energy
"March 7, 2018",SNI,Scripps Networks Interactive
"January 3, 2018",BCR,CR Bard
"October 13, 2017",LVLT,Level 3 Communications
"September 18, 2017",SPLS,Staples
"September 1, 2017",DOW,Dow Chemical Company
"September 1, 2017",DD,DuPont
"August 29, 2017",WFM,Whole Foods Market
"August 8, 2017",AN,AutoNation
"July 26, 2017",RIG,Transocean
"July 26, 2017",BBBY,Bed Bath & Beyond
"July 26, 2017",MUR,Murphy Oil
"July 26, 2017",MNK,Mallinckrodt
"July 26, 2017",RAI,Reynolds American
"June 19, 2017",YHOO,Yahoo!
"June 19, 2017",TDC,Teradata
"June 19, 2017",R,Ryder System
"June 19, 2017",MJN,Mead Johnson
"June 2, 2017",TGNA,Tegna
"April 5, 2017",DNB,Dun & Bradstreet
"April 4, 2017",SWN,Southwestern Energy
"March 20, 2017",URBN,Urban Outfitters
"March 20, 2017",FTR,Frontier Communications
"March 20, 2017",FSLR,First Solar
"March 16, 2017",HAR,Harman International
"March 13, 2017",LLTC,Linear Technology
"March 2, 2017",ENDP,Endo International
"March 1, 2017",PBI,Pitney Bowes
"February 28, 2017",SE,Spectra Energy
"January 5, 2017",STJ,St Jude Medical
"December 2, 2016",OI,Owens-Illinois
"December 2, 2016",LM,Legg Mason
"November 1, 2016",AA,Alcoa
"September 30, 2016",DO,Diamond Offshore Drilling
"September 22, 2016",HOT,Starwood
"September 8, 2016",EMC,EMC Corporation
"September 6, 2016",TYC,Tyco International
"July 5, 2016",CPGX,Columbia Pipeline Group
"July 1, 2016",GAS,AGL Resources
"July 1, 2016",TE,TECO Energy
"June 22, 2016",CVC,Cablevision Systems
"June 3, 2016",BXLT,Baxalta
"May 31, 2016",CCE,Coca-Cola Enterprises
"May 23, 2016",ARG,Airgas
"May 18, 2016",TWC,Time Warner Cable
"May 13, 2016",SNDK,SanDisk
"May 3, 2016",ADT,ADT
"April 25, 2016",GME,GameStop
"April 18, 2016",THC,Tenet Healthcare
"April 4, 2016",CAM,Cameron International
"March 30, 2016",POM,Pepco Holdings
"March 30, 2016",ESV,Ensco
"March 7, 2016",GMCR,Keurig Green Mountain
"March 4, 2016",CNX,Consol Energy
"February 22, 2016",PCL,Plum Creek Timber
"February 1, 2016",PCP,Precision Castparts Corporation
"February 1, 2016",BRCM,Broadcom Corporation
"January 19, 2016",ACE,Chubb
"January 5, 2016",FOSL,Fossil Group
"December 29, 2015",ALTR,Altera
