Indicator,Typ,Methode,Koeffizient,p-Wert
Bandwidth,Kontinuierlich,Mutual Information,0.3976595805987504,N/A
Bandwidth,Kontinuierlich,Pearson's r,-0.015064756254208327,0.10940040290418188
Bandwidth,Kontinuierlich,Spearman's Rho,-0.04529352384625583,1.4688498395423676e-06
Close_bb,Kontinuierlich,Mutual Information,4.413619927419275,N/A
Close_bb,Kontinuierlich,Pearson's r,0.9998748675831246,0.0
Close_bb,Kontinuierlich,Spearman's Rho,0.999835252641113,0.0
Close_sp500,Kontinuierlich,Mutual Information,4.413740725170169,N/A
Close_sp500,Kontinuierlich,Pearson's r,0.9998748675831246,0.0
Close_sp500,Kontinuierlich,Spearman's Rho,0.999835252641113,0.0
Close_x,Kontinuierlich,Mutual Information,4.413760246390844,N/A
Close_x,Kontinuierlich,Pearson's r,0.9998748675831246,0.0
Close_x,Kontinuierlich,Spearman's Rho,0.999835252641113,0.0
Close_y,Kontinuierlich,Mutual Information,4.413868150792116,N/A
Close_y,Kontinuierlich,Pearson's r,0.9998748675831246,0.0
Close_y,Kontinuierlich,Spearman's Rho,0.999835252641113,0.0
Divergence,Kontinuierlich,Mutual Information,0.006840796285906059,N/A
Divergence,Kontinuierlich,Pearson's r,9.79593579541051e-05,0.9916947259145672
Divergence,Kontinuierlich,Spearman's Rho,0.005311577437888997,0.572468325568396
High,Kontinuierlich,Mutual Information,4.293888488590461,N/A
High,Kontinuierlich,Pearson's r,0.9998400745435017,0.0
High,Kontinuierlich,Spearman's Rho,0.9997814196989063,0.0
Low,Kontinuierlich,Mutual Information,4.266572797852332,N/A
Low,Kontinuierlich,Pearson's r,0.999844647015515,0.0
Low,Kontinuierlich,Spearman's Rho,0.9997831945846472,0.0
Lower_Band,Kontinuierlich,Mutual Information,3.653144356387463,N/A
Lower_Band,Kontinuierlich,Pearson's r,0.9991164237198569,0.0
Lower_Band,Kontinuierlich,Spearman's Rho,0.9990004524390297,0.0
MACD,Kontinuierlich,Mutual Information,0.8664332471486622,N/A
MACD,Kontinuierlich,Pearson's r,0.27820562920386854,7.961385144580538e-200
MACD,Kontinuierlich,Spearman's Rho,0.32275864562715334,4.202264912280004e-272
MACD_Crossover,Ordinal,Mutual Information,0.0,N/A
MACD_Crossover,Ordinal,Pearson's r,0.0009083183450934957,0.9231081760808788
MACD_Crossover,Ordinal,Spearman's Rho,0.0009485858288744501,0.9197106975978597
MACD_Crossover_Strength,Kontinuierlich,Mutual Information,0.01887580495170793,N/A
MACD_Crossover_Strength,Kontinuierlich,Pearson's r,0.14167849218568299,1.0061480278380203e-51
MACD_Crossover_Strength,Kontinuierlich,Spearman's Rho,0.033350233041221776,0.00039286520331833374
MACD_Extreme,Ordinal,Mutual Information,0.04264328867580991,N/A
MACD_Extreme,Ordinal,Pearson's r,-0.02276600518468499,0.0155434537399906
