Date,Close+1,Close_Direction,Volume,RSI,MACD,Signal_Line,RSI_Overbought,RSI_Oversold,RSI_Overbought_Streak,RSI_Oversold_Streak,RSI_CrossOver_70,RSI_CrossUnder_30,RSI_Slope,MACD_BullishCrossover,MACD_BearishCrossover,MACD_Bullish_Streak,MACD_Bearish_Streak,MACD_ZeroLine_Crossover,MACD_Slope,BB_UpperBreak,BB_LowerBreak,BB_UpperBreak_Streak,BB_LowerBreak_Streak,BB_Squeeze
1980-01-02,105.22000,0,40610000,,0.00000,0.00000,0,0,0,0,0,0,0.00000,0,0,0,0,0,0.00000,0,0,0,0,0
1980-01-03,106.52000,1,50480000,,-0.04308,-0.00862,0,0,0,0,0,0,,0,0,0,1,0,-0.04308,0,0,0,0,0
1980-01-04,106.81000,1,39130000,,0.02737,-0.00142,0,0,0,0,0,0,,1,0,1,0,1,0.07044,0,0,0,0,0
1980-01-07,108.95000,1,44500000,,0.10538,0.01994,0,0,0,0,0,0,,0,0,2,0,0,0.07801,0,0,0,0,0
1980-01-08,109.05000,1,53390000,,0.33601,0.08316,0,0,0,0,0,0,,0,0,3,0,0,0.23063,0,0,0,0,0
1980-01-09,109.89000,1,65260000,,0.52086,0.17070,0,0,0,0,0,0,,0,0,4,0,0,0.18484,0,0,0,0,0
1980-01-10,109.92000,1,55980000,,0.72675,0.28191,0,0,0,0,0,0,,0,0,5,0,0,0.20589,0,0,0,0,0
1980-01-11,110.38000,1,52890000,,0.88217,0.40196,0,0,0,0,0,0,,0,0,6,0,0,0.15542,0,0,0,0,0
1980-01-14,111.14000,1,52930000,,1.03059,0.52769,0,0,0,0,0,0,,0,0,7,0,0,0.14841,0,0,0,0,0
1980-01-15,111.05000,0,52320000,,1.19575,0.66130,0,0,0,0,0,0,,0,0,8,0,0,0.16516,0,0,0,0,0
1980-01-16,110.70000,0,67700000,,1.30434,0.78991,0,0,0,0,0,0,,0,0,9,0,0,0.10859,0,0,0,0,0
1980-01-17,111.07000,1,54170000,,1.34663,0.90125,0,0,0,0,0,0,,0,0,10,0,0,0.04229,0,0,0,0,0
1980-01-18,112.10000,1,47150000,,1.39394,0.99979,0,0,0,0,0,0,,0,0,11,0,0,0.04731,0,0,0,0,0
1980-01-21,111.51000,0,48040000,,1.49728,1.09929,0,0,0,0,0,0,,0,0,12,0,0,0.10334,0,0,0,0,0
1980-01-22,113.44000,1,50620000,79.03999,1.51412,1.18226,1,0,1,0,0,0,,0,0,13,0,0,0.01684,0,0,0,0,0
1980-01-23,113.70000,1,50730000,84.82342,1.66402,1.27861,1,0,2,0,0,0,5.78343,0,0,14,0,0,0.14990,0,0,0,0,0
1980-01-24,113.61000,0,59070000,85.40755,1.78324,1.37953,1,0,3,0,0,0,0.58414,0,0,15,0,0,0.11922,0,0,0,0,0
1980-01-25,114.85000,1,47100000,84.19948,1.84914,1.47346,1,0,4,0,0,0,-1.20808,0,0,16,0,0,0.06590,0,0,0,0,0
1980-01-28,114.07000,0,53620000,86.94046,1.97862,1.57449,1,0,5,0,0,0,2.74098,0,0,17,0,0,0.12948,0,0,0,0,0
1980-01-29,115.20000,1,55480000,77.79804,1.99529,1.65865,1,0,6,0,0,0,-9.14242,0,0,18,0,0,0.01667,0,0,0,0,0
1980-01-30,114.16000,0,51170000,80.92716,2.07576,1.74207,1,0,7,0,0,0,3.12912,0,0,19,0,0,0.08047,0,0,0,0,0
1980-01-31,115.12000,1,65900000,71.00797,2.03219,1.80010,1,0,8,0,0,0,-9.91919,0,0,20,0,0,-0.04357,0,0,0,0,0
1980-02-01,114.37000,0,46610000,74.15683,2.05147,1.85037,1,0,9,0,0,0,3.14886,0,0,21,0,0,0.01928,0,0,0,0,0
1980-02-04,114.66000,1,43070000,67.94778,1.98337,1.87697,0,0,0,0,0,0,-6.20904,0,0,22,0,0,-0.06810,0,0,0,0,0
1980-02-05,115.72000,1,41880000,69.02765,1.93055,1.88769,0,0,0,0,0,0,1.07987,0,0,23,0,0,-0.05282,0,0,0,0,0
1980-02-06,116.28000,1,51950000,72.65420,1.95172,1.90049,1,0,1,0,1,0,3.62655,0,0,24,0,0,0.02117,0,0,0,0,0
1980-02-07,117.95000,1,57690000,74.36212,1.99074,1.91854,1,0,2,0,0,0,1.70792,0,0,25,0,0,0.03902,0,0,0,0,0
1980-02-08,117.12000,0,57860000,78.64545,2.13184,1.96120,1,0,3,0,0,0,4.28333,0,0,26,0,0,0.14110,1,0,1,0,0
1980-02-11,117.90000,1,58660000,72.19008,2.15188,1.99934,1,0,4,0,0,0,-6.45536,0,0,27,0,0,0.02005,0,0,0,0,0
1980-02-12,118.44000,1,48090000,74.32309,2.20529,2.04053,1,0,5,0,0,0,2.13301,0,0,28,0,0,0.05340,0,0,0,0,0
1980-02-13,116.72000,0,65230000,75.71199,2.26508,2.08544,1,0,6,0,0,0,1.38890,0,0,29,0,0,0.05979,0,0,0,0,0
1980-02-14,115.41000,0,50540000,63.86266,2.14890,2.09813,0,0,0,0,0,0,-11.84934,0,0,30,0,0,-0.11618,0,0,0,0,0
1980-02-15,114.60000,0,46680000,56.59738,1.92888,2.06428,0,0,0,0,0,0,-7.26528,0,1,0,1,0,-0.22001,0,0,0,0,0
