Date,MACD_BullishCrossover,MACD_BearishCrossover,MACD_Bullish_Streak,MACD_Bearish_Streak,MACD_ZeroLine_Crossover,MACD_Slope
1980-01-02,0,0,0,0,0,0.00000
1980-01-03,0,0,0,1,0,-0.04308
1980-01-04,1,0,1,0,1,0.07044
1980-01-07,0,0,2,0,0,0.07801
1980-01-08,0,0,3,0,0,0.23063
1980-01-09,0,0,4,0,0,0.18484
1980-01-10,0,0,5,0,0,0.20589
1980-01-11,0,0,6,0,0,0.15542
1980-01-14,0,0,7,0,0,0.14841
1980-01-15,0,0,8,0,0,0.16516
1980-01-16,0,0,9,0,0,0.10859
1980-01-17,0,0,10,0,0,0.04229
1980-01-18,0,0,11,0,0,0.04731
1980-01-21,0,0,12,0,0,0.10334
1980-01-22,0,0,13,0,0,0.01684
1980-01-23,0,0,14,0,0,0.14990
1980-01-24,0,0,15,0,0,0.11922
1980-01-25,0,0,16,0,0,0.06590
1980-01-28,0,0,17,0,0,0.12948
1980-01-29,0,0,18,0,0,0.01667
1980-01-30,0,0,19,0,0,0.08047
1980-01-31,0,0,20,0,0,-0.04357
1980-02-01,0,0,21,0,0,0.01928
1980-02-04,0,0,22,0,0,-0.06810
1980-02-05,0,0,23,0,0,-0.05282
1980-02-06,0,0,24,0,0,0.02117
1980-02-07,0,0,25,0,0,0.03902
1980-02-08,0,0,26,0,0,0.14110
1980-02-11,0,0,27,0,0,0.02005
1980-02-12,0,0,28,0,0,0.05340
1980-02-13,0,0,29,0,0,0.05979
1980-02-14,0,0,30,0,0,-0.11618
1980-02-15,0,1,0,1,0,-0.22001
1980-02-19,0,0,0,2,0,-0.25897
1980-02-20,0,0,0,3,0,-0.07276
1980-02-21,0,0,0,4,0,-0.17013
1980-02-22,0,0,0,5,0,-0.16870
1980-02-25,0,0,0,6,0,-0.28292
1980-02-26,0,0,0,7,0,-0.18093
1980-02-27,0,0,0,8,0,-0.27844
1980-02-28,0,0,0,9,0,-0.22643
1980-02-29,0,0,0,10,0,-0.07620
1980-03-03,0,0,0,11,0,-0.15467
1980-03-04,0,0,0,12,0,-0.09951
1980-03-05,0,0,0,13,0,-0.20912
1980-03-06,0,0,0,14,0,-0.35883
1980-03-07,0,0,0,15,0,-0.41380
1980-03-10,0,0,0,16,0,-0.34366
1980-03-11,0,0,0,17,0,-0.15237
1980-03-12,0,0,0,18,0,-0.17466
1980-03-13,0,0,0,19,0,-0.21726
1980-03-14,0,0,0,20,0,-0.16361
1980-03-17,0,0,0,21,0,-0.35742
1980-03-18,0,0,0,22,0,-0.10554
1980-03-19,0,0,0,23,0,-0.03703
1980-03-20,0,0,0,24,0,-0.09460
1980-03-21,0,0,0,25,0,-0.10832
1980-03-24,0,0,0,26,0,-0.29493
1980-03-25,0,0,0,27,0,-0.20324
1980-03-26,0,0,0,28,0,-0.16260
1980-03-27,0,0,0,29,0,-0.12491
1980-03-28,0,0,0,30,0,0.13898
1980-03-31,0,0,0,31,0,0.26038
1980-04-01,1,0,1,0,0,0.24723
1980-04-02,0,0,2,0,0,0.26682
1980-04-03,0,0,3,0,0,0.19696
1980-04-07,0,0,4,0,0,0.02590
1980-04-08,0,0,5,0,0,0.12852
1980-04-09,0,0,6,0,0,0.27924
1980-04-10,0,0,7,0,0,0.31916
1980-04-11,0,0,8,0,0,0.24629
1980-04-14,0,0,9,0,0,0.13374
1980-04-15,0,0,10,0,0,0.10307
1980-04-16,0,0,11,0,0,0.00766
1980-04-17,0,0,12,0,0,-0.01931
1980-04-18,0,0,13,0,0,-0.04102
1980-04-21,0,0,14,0,0,-0.07751
1980-04-22,0,0,15,0,0,0.24419
1980-04-23,0,0,16,0,0,0.22781
1980-04-24,0,0,17,0,0,0.24190
1980-04-25,0,0,18,0,0,0.25736
1980-04-28,0,0,19,0,0,0.24420
1980-04-29,0,0,20,0,1,0.21037
1980-04-30,0,0,21,0,0,0.19822
1980-05-01,0,0,22,0,0,0.08593
1980-05-02,0,0,23,0,0,0.07275
1980-05-05,0,0,24,0,0,0.11585
1980-05-06,0,0,25,0,0,0.07410
1980-05-07,0,0,26,0,0,0.12511
1980-05-08,0,0,27,0,0,0.00570
1980-05-09,0,0,28,0,0,-0.11664
1980-05-12,0,0,29,0,0,-0.09389
1980-05-13,0,0,30,0,0,0.04146
1980-05-14,0,0,31,0,0,0.06966
1980-05-15,0,0,32,0,0,0.05825
1980-05-16,0,0,33,0,0,0.06620
1980-05-19,0,0,34,0,0,0.06848
1980-05-20,0,0,35,0,0,0.03997
1980-05-21,0,0,36,0,0,0.02915
1980-05-22,0,0,37,0,0,0.11526
1980-05-23,0,0,38,0,0,0.20695
1980-05-27,0,0,39,0,0,0.21021
1980-05-28,0,0,40,0,0,0.20080
1980-05-29,0,0,41,0,0,-0.00431
1980-05-30,0,0,42,0,0,0.05522
1980-06-02,0,0,43,0,0,-0.01444
1980-06-03,0,0,44,0,0,-0.05051
1980-06-04,0,0,45,0,0,0.10927
1980-06-05,0,0,46,0,0,0.07925
1980-06-06,0,0,47,0,0,0.07477
1980-06-09,0,0,48,0,0,0.07759
1980-06-10,0,0,49,0,0,0.11402
1980-06-11,0,0,50,0,0,0.17396
1980-06-12,0,0,51,0,0,0.07056
1980-06-13,0,0,52,0,0,0.05177
1980-06-16,0,0,53,0,0,0.03566
1980-06-17,0,0,54,0,0,-0.00449
1980-06-18,0,0,55,0,0,-0.01276
1980-06-19,0,0,56,0,0,-0.16508
1980-06-20,0,1,0,1,0,-0.20276
1980-06-23,0,0,0,2,0,-0.14622
1980-06-24,0,0,0,3,0,-0.08589
1980-06-25,0,0,0,4,0,0.03814
1980-06-26,0,0,0,5,0,-0.03344
1980-06-27,0,0,0,6,0,-0.06202
1980-06-30,0,0,0,7,0,-0.20894
1980-07-01,0,0,0,8,0,-0.12623
1980-07-02,0,0,0,9,0,-0.05521
1980-07-03,0,0,0,10,0,0.08323
1980-07-07,0,0,0,11,0,0.11497
1980-07-08,0,0,0,12,0,0.03641
1980-07-09,0,0,0,13,0,0.02152
1980-07-10,0,0,0,14,0,-0.08373
1980-07-11,0,0,0,15,0,-0.01208
1980-07-14,1,0,1,0,0,0.14631
1980-07-15,0,0,2,0,0,0.03899
1980-07-16,0,0,3,0,0,0.03743
1980-07-17,0,0,4,0,0,0.15384
1980-07-18,0,0,5,0,0,0.14677
1980-07-21,0,0,6,0,0,0.12918
1980-07-22,0,0,7,0,0,0.05092
1980-07-23,0,0,8,0,0,-0.00620
1980-07-24,0,0,9,0,0,-0.04130
1980-07-25,0,0,10,0,0,-0.13774
1980-07-28,0,1,0,1,0,-0.07930
1980-07-29,0,0,0,2,0,-0.00709
1980-07-30,0,0,0,3,0,-0.04137
1980-07-31,0,0,0,4,0,-0.09887
1980-08-01,0,0,0,5,0,-0.13481
1980-08-04,0,0,0,6,0,-0.14309
1980-08-05,0,0,0,7,0,-0.14874
1980-08-06,0,0,0,8,0,-0.06771
1980-08-07,0,0,0,9,0,0.07153
1980-08-08,0,0,0,10,0,0.06493
1980-08-11,1,0,1,0,0,0.12763
1980-08-12,0,0,2,0,0,0.00299
1980-08-13,0,1,0,1,0,-0.05641
1980-08-14,1,0,1,0,0,0.09553
1980-08-15,0,0,2,0,0,0.09383
1980-08-18,0,1,0,1,0,-0.13194
1980-08-19,0,0,0,2,0,-0.18447
1980-08-20,0,0,0,3,0,-0.06717
1980-08-21,0,0,0,4,0,0.06698
1980-08-22,0,0,0,5,0,0.08118
1980-08-25,0,0,0,6,0,-0.02190
1980-08-26,0,0,0,7,0,-0.05934
1980-08-27,0,0,0,8,0,-0.16776
1980-08-28,0,0,0,9,0,-0.26037
1980-08-29,0,0,0,10,0,-0.19115
1980-09-02,0,0,0,11,0,-0.05019
1980-09-03,0,0,0,12,0,0.14219
1980-09-04,0,0,0,13,0,0.04560
1980-09-05,0,0,0,14,0,-0.01783
1980-09-08,0,0,0,15,0,-0.14949
1980-09-09,0,0,0,16,0,-0.06508
1980-09-10,0,0,0,17,0,0.00021
1980-09-11,0,0,0,18,0,0.06014
1980-09-12,0,0,0,19,0,0.02902
1980-09-15,0,0,0,20,0,0.02425
1980-09-16,1,0,1,0,0,0.09523
1980-09-17,0,0,2,0,0,0.23431
1980-09-18,0,0,3,0,0,0.13320
1980-09-19,0,0,4,0,0,0.15776
1980-09-22,0,0,5,0,0,0.19914
1980-09-23,0,0,6,0,0,0.06017
